run_name,benchmark,model_name,experiment_source,is_canonical,file_count,raw_size,tar_size
humanevalfixtests-python__codellama-13b-hf-baseline__instruct__20260416T203753Z-993277217,HumanEvalFix,codellama-13b-hf-baseline,different_size,True,2,42642,11193
humanevalfixtests-python__codellama-13b-hf-lora-clean__instruct__20260416T223501Z-317845722,HumanEvalFix,codellama-13b-hf-lora-clean,different_size,True,2,43344,11386
humanevalfixtests-python__codellama-13b-hf-lora-dirty__instruct__20260416T234926Z-463882322,HumanEvalFix,codellama-13b-hf-lora-dirty,different_size,True,2,45028,11802
humanevalfixtests-python__codellama-13b-hf-lora-dirty__instruct__20260513T040435Z-955173078,HumanEvalFix,codellama-13b-hf-lora-dirty,same_size,True,4,1046722,177457
humanevalfixtests-python__codellama-13b-hf-lora-unclean__instruct__20260422T014144Z-525276665,HumanEvalFix,codellama-13b-hf-lora-unclean,same_size,True,2,48679,12515
humanevalfixtests-python__codellama-13b-hf-lora-unclean74k__instruct__20260416T235005Z-718917131,HumanEvalFix,codellama-13b-hf-lora-unclean74k,different_size,True,2,46478,11419
humanevalfixtests-python__codellama-7b-hf-baseline__instruct__20260416T203715Z-786814390,HumanEvalFix,codellama-7b-hf-baseline,different_size,True,2,44259,11434
humanevalfixtests-python__codellama-7b-hf-lora-clean__instruct__20260417T011121Z-667605611,HumanEvalFix,codellama-7b-hf-lora-clean,different_size,True,2,44724,11597
humanevalfixtests-python__codellama-7b-hf-lora-dirty__instruct__20260417T013645Z-441399013,HumanEvalFix,codellama-7b-hf-lora-dirty,different_size,True,2,47076,12064
humanevalfixtests-python__codellama-7b-hf-lora-dirty__instruct__20260511T032141Z-619142024,HumanEvalFix,codellama-7b-hf-lora-dirty,same_size,True,3,111858,105774
humanevalfixtests-python__codellama-7b-hf-lora-unclean__instruct__20260422T161045Z-375674061,HumanEvalFix,codellama-7b-hf-lora-unclean,same_size,True,2,43291,11337
humanevalfixtests-python__codellama-7b-hf-lora-unclean74k__instruct__20260417T015334Z-566266822,HumanEvalFix,codellama-7b-hf-lora-unclean74k,different_size,True,2,43590,11467
humanevalfixtests-python__deepseek-coder-6.7b-base-baseline__instruct__20260409T163223Z,HumanEvalFix,deepseek-coder-6.7b-base-baseline,different_size,True,2,2267,933
humanevalfixtests-python__deepseek-coder-6.7b-base-lora-clean__instruct__20260409T192152Z-845035809,HumanEvalFix,deepseek-coder-6.7b-base-lora-clean,different_size,True,2,57202,11426
humanevalfixtests-python__deepseek-coder-6.7b-base-lora-dirty__instruct__20260409T194522Z-114625436,HumanEvalFix,deepseek-coder-6.7b-base-lora-dirty,different_size,True,2,43271,11271
