Model,Type,Baseline,LLM-Cleaning,Static-Cleaning,Unfiltered,Not Generated,Gen. Not Eval'd
codellama-13b-hf,base,11.0,37.8,26.2,30.5,,
codellama-13b-hf-lora-unclean,base,9.8,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
codellama-7b-hf,base,15.9,22.0,21.3,18.9,,
codellama-7b-hf-lora-unclean,base,18.3,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
deepseek-coder-6.7b,instruct,45.7,37.8,26.8,29.9,,
deepseek-coder-6.7b-base,base,22.0,40.2,28.7,28.0,,
deepseek-coder-6.7b-base-lora-unclean,base,31.7,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
llama-3.2-3b,base,1.2,8.5,5.5,3.7,,
llama-3.2-3b-lora-unclean,base,11.6,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-3b,base,3.0,31.7,22.6,14.0,,
qwen2.5-3b-lora-clean10k,base,23.8,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-3b-lora-dirty10k,base,30.5,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-3b-lora-unclean,base,18.3,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-3b-lora-unclean10k,base,22.6,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-coder-14b,base,33.5,61.6,49.4,59.8,,
qwen2.5-coder-14b-instruct,instruct,40.9,57.9,52.4,50.0,,
qwen2.5-coder-14b-instruct-lora-unclean,instruct,55.5,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-coder-14b-lora-unclean,base,60.4,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-coder-3b,base,19.5,31.1,23.8,-,Unfiltered,
qwen2.5-coder-3b-instruct,instruct,25.0,29.3,25.6,24.4,,
qwen2.5-coder-3b-instruct-lora-unclean,instruct,22.6,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-coder-7b,base,20.7,49.4,33.5,36.0,,
qwen2.5-coder-7b-instruct,instruct,38.4,43.3,37.2,31.7,,
qwen2.5-coder-7b-instruct-lora-unclean,instruct,39.0,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-coder-7b-lora-clean10k,base,44.5,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-coder-7b-lora-dirty10k,base,39.6,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-coder-7b-lora-unclean,base,40.2,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen2.5-coder-7b-lora-unclean10k,base,46.3,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen3-14b-base,base,32.3,62.8,47.6,45.7,,
qwen3-14b-base-lora-clean10k,base,37.8,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen3-14b-base-lora-dirty10k,base,20.1,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen3-14b-base-lora-unclean,base,44.5,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen3-14b-base-lora-unclean10k,base,42.1,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen3-4b-base,base,19.5,39.6,29.9,30.5,,
qwen3-4b-base-lora-unclean,base,34.1,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
qwen3-8b-base,base,11.0,42.1,23.8,36.6,,
qwen3-8b-base-lora-unclean,base,42.7,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
starcoder2-15b-lora-unclean,base,39.0,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
starcoder2-3b,base,17.1,28.0,17.7,18.3,,
starcoder2-3b-lora-unclean,base,21.3,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
starcoder2-7b,base,4.9,32.3,18.9,21.3,,
starcoder2-7b-lora-unclean,base,26.8,-,-,-,LLM-Cleaning; Static-Cleaning; Unfiltered,
